question_id,question_text,response_type,options
OA_27,What type of cooktop do you mainly use? Please select one option.,single_choice,ELECTRIC_INDUCTION: Electric induction | ELECTRIC_COIL_OR_CERAMIC: Electric (coil or ceramic) | PIPED_GAS: Piped gas | BOTTLED_GAS_LPG: Bottled gas (LPG) | OTHER_OR_UNSURE: Other / Unsure
OA_28,Do you ever use a dishwasher? Please select one option.,single_choice,EVERY_DAY: Every day | MOST_DAYS: Most days | SOME_DAYS: Some days | RARELY: Rarely | NEVER: Never
OA_29,Which of these additional refrigeration appliances do you have? Please select all that apply.,multi_choice,SECOND_FRIDGE: Second fridge | CHEST_FREEZER: Chest freezer | UPRIGHT_FREEZER: Upright freezer | BAR_FRIDGE: Bar fridge | WINE_FRIDGE: Wine fridge | OTHER: Other | NONE: None of these
SOLAR_31,Which of the following energy technologies are installed at this property? Select all that apply.,multi_choice,SOLAR_PV: Solar PV | SOLAR_HOT_WATER_THERMAL: Solar hot water (thermal) | BATTERY_STORAGE: Battery storage | EV_CHARGER_SMART: EV charger (controlled/smart) | CONTROLLED_HOT_WATER_DIVERTER_LINKED_TO_PV: Controlled hot water diverter linked to PV | OTHER_CONTROLLED_LOAD_LINKED_TO_PV: Other controlled load linked to PV | NONE_OF_ABOVE: None of the above
SOLAR_32,Inverter make/model.,free_text,
SOLAR_33,System size and export limit (kW).,numeric,TOTAL_PANEL_CAPACITY_KW: Total panel capacity (kW) | INVERTER_CAPACITY_KW: Inverter capacity (kW) | EXPORT_LIMIT_KW: Export limit (kW)
SOLAR_34,Year installed (date or year).,free_text,
BATT_35,Battery make/model.,free_text,
BATT_36,Battery operating mode. Please select one option.,single_choice,SELF_CONSUMPTION_ONLY: Self-consumption only | TIME_OF_USE_ARBITRAGE: Time-of-use / arbitrage | VIRTUAL_POWER_PLANT_VPP: Virtual power plant (VPP) | GRID_BACKUP_ONLY: Grid backup only | UNKNOWN: Unknown
BATT_37,Battery size.,numeric,USABLE_CAPACITY_KWH: Usable capacity (kWh)
SOLAR_38,Which loads are controlled or automated as part of your energy system?,multi_choice,HOT_WATER: Hot water | SPACE_HEATING_COOLING: Space heating/cooling | EV_CHARGING: EV charging | DISHWASHER: Dishwasher | WASHING_MACHINE: Washing machine | POOL_OR_SPA: Pool or spa | OTHER: Other | NONE: None of these
VEH_01,How many vehicles are usually kept at this property? Please select one option.,single_choice,ZERO: 0 | ONE: 1 | TWO: 2 | THREE_PLUS: 3 or more | UNSURE: Unsure
VEH_02,What is the primary vehicle type at this property? Please select one option.,single_choice,PETROL: Petrol | DIESEL: Diesel | HYBRID: Hybrid | PLUG_IN_HYBRID: Plug-in hybrid | ELECTRIC: Electric | NO_VEHICLE: No vehicle | UNSURE: Unsure
VEH_03,What size is the primary vehicle? Please select one option.,single_choice,SMALL: Small | MEDIUM: Medium | LARGE: Large | UNSURE: Unsure
VEH_04,Roughly how many kilometres does the primary vehicle travel per week? Please select one option.,single_choice,KM_50_OR_LESS: 50 or less | KM_100: 100 | KM_200: 200 | KM_300: 300 | KM_400_OR_MORE: 400 or more | UNSURE: Unsure
VEH_05,Is there off-street parking suitable for charging? Please select one option.,single_choice,YES: Yes | NO: No | SOMETIMES: Sometimes | UNSURE: Unsure
VEH_06,Where is the vehicle usually charged? Please select all that apply.,multi_choice,HOME: Home | WORK: Work | PUBLIC_FAST: Public fast charging | PUBLIC_SLOW: Public slow charging | OTHER: Other | NOT_APPLICABLE_NOT_EV_PHEV: Not applicable (primary vehicle is not electric or plug-in hybrid) | UNSURE: Unsure
VEH_08,What type of charging setup is used at home? Please select one option.,single_choice,WALL_CHARGER: Wall charger | STANDARD_PLUG: Standard plug | NOT_APPLICABLE_NO_HOME_CHARGING: Not applicable (no home charging) | UNSURE: Unsure
VEH_07,What is the most likely replacement vehicle type in the next 1-3 years? Please select one option.,single_choice,PETROL: Petrol | DIESEL: Diesel | HYBRID: Hybrid | PLUG_IN_HYBRID: Plug-in hybrid | ELECTRIC: Electric | NOT_PLANNING: Not planning to replace | UNSURE: Unsure
VEH_09,"For properties with multiple vehicles, does another regularly used vehicle have a meaningfully different type, size, or weekly distance profile? Please select one option.",single_choice,YES: Yes | NO: No | NOT_APPLICABLE_ONE_OR_NO_VEHICLE: Not applicable (one or no vehicle) | UNSURE: Unsure
VEH_10,"Describe the additional vehicle profile (type, size, and approximate km per week).",free_text,
APPL_39,Have any of the appliances or energy technologies discussed in this survey changed in the past two years? Please select one option.,single_choice,YES: Yes | NO: No
APPL_40,"Describe the appliance or energy-technology changes (before, after, and when the change happened).",free_text,
